,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1636,1.0,0.0002831891850358191,0.05893895669408359,0.008769319286550404,0.03889867714170181,0.00066744517970676,1.5523151157757542e-05,0.03230433000956154,1.332717725530767e-06,0.002562205263564778,0.22523611635814128,0.8454015422230581,0.003207150596825922,0.3018093985560669,0.38585196719841547,0.6921837846130245
1637,1.0,0.00012378007500963767,0.012125072998600859,0.008858599686526596,0.015322627231240251,0.00019488776437005318,7.6367914055849e-06,0.03865592132222374,2.6270707187295995e-06,0.0019326979358786044,0.19244427653947865,0.8493511378596953,0.0028851300484336317,0.9165791721617481,0.6012318711227987,0.4595382373245379
1638,1.0,7.549228524213609e-05,0.038984642753229715,0.0006051227109497451,0.02093322165097337,9.58219800181653e-05,4.192748222674063e-06,0.045690479442699085,5.0202992594359806e-06,0.001501982395882801,0.19244427653947865,0.8493511378596953,0.0028851300484336317,0.9165791721617481,0.6012318711227987,0.4595382373245379
1639,1.0,6.971236456256793e-05,0.014661739999427202,0.004840981687597961,0.013527525850615216,0.00041345530037628127,7.93627342149019e-06,0.038109547875973225,2.498274831615249e-06,0.002672645145614984,0.13577635058556856,0.8583787850291518,0.002389044338748211,0.1850504206138278,0.29471028222061707,0.6005982971542533
1640,1.0,3.150398570946247e-05,0.00912392594529627,0.0005257623554153522,0.017657125527121485,0.0002325807707279097,7.736618744219996e-06,0.06631607703865593,2.1179159139243567e-05,0.005290070350204865,0.20619569323762751,0.8373142749670867,0.0033376994677957695,0.06841491052696136,0.4897543434774685,0.5034900667331441
1641,1.0,1.086227242406817e-05,0.0086334918735157,0.0022419300438465965,0.012074692392120617,8.070585182301804e-05,4.442316569261804e-06,0.09206392569321131,7.654951580031177e-05,0.002462809369719593,0.20619569323762751,0.8373142749670867,0.0033376994677957695,0.06841491052696136,0.4897543434774685,0.5034900667331441
1642,1.0,0.001158781918557804,0.06373957748807156,0.00021824097771958018,0.06229926058575473,0.0004281172959647074,2.141296413722825e-05,0.027182078950962984,6.905651819748183e-07,0.00779705567274454,0.21480921798262184,0.7432762836185819,0.007084452064630395,0.8271175651773094,0.23487119342678858,0.42011198895451407
1643,1.0,2.5477709886878715e-05,0.010447248091050843,0.007340832886931333,0.022030067587083358,0.00012443233424159854,7.686705074902448e-06,0.08653189454992487,6.0138544822322896e-05,0.008548046870685942,0.2534189648658859,0.8130524731991725,0.004229783419423061,0.5272310641465816,0.09836433105951017,0.44151261793357366
1644,1.0,1.105025444750633e-05,0.011491570076616683,0.00902724044203718,0.017765438160707067,9.491371480472298e-05,7.437136728314706e-06,0.11159677639666712,0.00016415994931032337,0.008404475024020672,0.2534189648658859,0.8130524731991725,0.004229783419423061,0.5272310641465816,0.09836433105951017,0.44151261793357366
1645,1.0,4.163173005257767e-05,0.00828074945842701,0.004354899509949804,0.013692883137889203,0.0002379654859218892,8.684978461253415e-06,0.06795519737740746,2.339700604643253e-05,0.004174627541497785,0.2513789195315451,0.8388188828286628,0.0035900939516708085,0.7728827091957029,0.8015518989627839,0.5684590013039811
